id      ,rooms ,area ,rent   ,street                        ,zip_code ,latitude          ,longitude
5233352 ,    2 ,  43 ,  9500 ,Poppelstykket                 ,    2450 ,55.6515557        ,12.5119233
5238455 ,    3 , 120 , 24995 ,Martinsvej                    ,    1926 ,55.68017039999999 ,12.5555916
5153116 ,    5 , 140 , 19500 ,A.C. Meyers Vænge             ,    2450 ,55.6503446        ,12.5409203
5237966 ,    4 , 118 , 15000 ,Islev Have                    ,    2610 ,55.70582719999999 ,12.4338754
5179340 ,    3 ,  65 , 13118 ,Njalsgade                     ,    2300 ,55.6630951        ,12.5935843
5112302 ,    4 , 119 , 20000 ,C V E Knuths Vej              ,    2900 ,55.73273889999999 ,12.5617231
4956120 ,    2 ,  64 , 10350 ,Else Alfelts Vej              ,    2300 ,55.6174184        ,12.5663495
4856694 ,    3 ,  90 , 13466 ,Gyngemose Parkvej             ,    2860 ,55.7261207        ,12.478513
4900278 ,    3 ,  65 , 13832 ,Njalsgade                     ,    2300 ,55.6630951        ,12.5935843
5117845 ,    2 , 115 , 18820 ,Islands Brygge                ,    2300 ,55.6618119        ,12.5696679
5143165 ,    1 ,  49 ,  8950 ,Domus Vista                   ,    2000 ,55.6710648        ,12.5013936
4739392 ,    2 ,  56 , 11500 ,Michael Strunges Vej          ,    2300 ,55.6653673        ,12.5989328
5085935 ,    4 , 126 , 20300 ,Willemoesgade                 ,    2100 ,55.6985847        ,12.5857688
5054948 ,    1 ,  43 ,  7640 ,Frederikssundsvej             ,    2400 ,55.7012191        ,12.5357119
4974060 ,    3 ,  73 ,  9200 ,Grønnemose Alle               ,    2860 ,55.7239129        ,12.5072853
5148227 ,    5 , 131 , 16400 ,Halldór Laxness Vej           ,    2300 ,55.6354026        ,12.5805186
5023175 ,    3 , 121 , 15106 ,Margretheholmsvej             ,    1432 ,55.6841196        ,12.6152124
5181932 ,    3 ,  84 , 13900 ,Håbets Allé                   ,    2700 ,55.7037954        ,12.5035542
4856705 ,    4 , 105 , 17495 ,Nygade                        ,    1164 ,55.6781275        ,12.5734453
5149924 ,    3 , 102 , 14995 ,Fajancegade                   ,    2500 ,55.6651654        ,12.5106155
5218117 ,    1 ,  36 ,  8000 ,Lærkevej                      ,    2400 ,55.7017902        ,12.5305111
5236642 ,    1 ,  35 ,  7850 ,Gammel Jernbanevej            ,    2500 ,55.6642472        ,12.5185569
5130194 ,    3 ,  82 , 12400 ,Ørestad Boulevard             ,    2300 ,55.6403311        ,12.5829753
4956329 ,    2 ,  74 , 14500 ,Nyhavn                        ,    1051 ,55.68021820000001 ,12.5902059
5079087 ,    4 , 136 , 17500 ,A.C. Meyers Vænge             ,    2450 ,55.651292         ,12.5421514
4986682 ,    3 ,  87 , 13760 ,Bygmestervej                  ,    2400 ,55.7062046        ,12.5349399
5238455 ,    3 , 120 , 24995 ,Martinsvej                    ,    1926 ,55.68017039999999 ,12.5555916
5228609 ,    2 ,  53 ,  9500 ,.                             ,    2860 ,55.7411113        ,12.4908475
5218662 ,    1 ,  41 ,  7900 ,Rødovre Port                  ,    2610 ,55.6652533        ,12.4572514
5110046 ,    2 ,  63 , 10950 ,Børge Olsens Plads            ,    2610 ,55.67117589999999 ,12.4728844
5206512 ,    5 , 125 , 16000 ,Amager Strandvej              ,    2300 ,55.65837879999999 ,12.6316497
5239438 ,    1 ,  60 , 14000 ,Jacob Erlandsensgade          ,    2100 ,55.7075135        ,12.5762157
5017590 ,    1 ,  28 ,  8500 ,Njalsgade                     ,    2300 ,55.6635534        ,12.5909995
5237584 ,    1 ,  31 ,  7400 ,Gl. Køge Landevej             ,    2500 ,55.6557304        ,12.5115847
5185816 ,    1 ,  43 ,  7939 ,Frederikssundsvej             ,    2400 ,55.7012191        ,12.5357119
5239215 ,    3 ,  59 , 11700 ,Gyngemose Parkvej             ,    2860 ,55.7275956        ,12.479145
5230508 ,    2 ,  58 , 12000 ,Vestre Teglgade               ,    2450 ,55.6531338        ,12.5481159
5231632 ,    1 ,  35 ,  8200 ,Teglholmsgade                 ,    2450 ,55.6521553        ,12.5492342
5217939 ,    2 ,  48 , 10200 ,Gadelandet                    ,    2700 ,55.7110946        ,12.4792902
5208330 ,    1 ,  48 , 10000 ,Else Alfelts Vej              ,    2300 ,55.6166712        ,12.5659635
5181532 ,    2 ,  90 , 13900 ,Axel Heides Gade              ,    2300 ,55.659896         ,12.57005
5189682 ,    3 ,  96 , 14975 ,Theodore Roosevelts Vej       ,    2450 ,55.6490514        ,12.5352729
5237942 ,    2 ,  53 , 10200 ,Rødovre Port                  ,    2610 ,55.6652287        ,12.4562051
5185287 ,    4 , 100 , 13800 ,Hannemanns Allé               ,    2300 ,55.626185         ,12.5762249
5237946 ,    2 ,  66 , 11800 ,Rødovre Port                  ,    2610 ,55.6653478        ,12.457358
5110046 ,    2 ,  63 , 10950 ,Børge Olsens Plads            ,    2610 ,55.67117589999999 ,12.4728844
5143981 ,    4 ,  86 , 15995 ,Falkevej                      ,    2400 ,55.69874799999998 ,12.53532
5202622 ,    4 ,  97 , 13300 ,Gyngemose Parkvej             ,    2860 ,55.7273179        ,12.474743
5239326 ,    3 , 155 , 23500 ,H.C. Andersens Boulevard      ,    1553 ,55.6753143        ,12.568886
5238951 ,    2 ,  58 , 11900 ,Gertrude Steins Vej           ,    2300 ,55.6399152        ,12.5829647
5184525 ,    1 ,  35 ,  6650 ,Rabarbervej                   ,    2400 ,55.6961805        ,12.5240192
5185591 ,    4 , 103 , 19995 ,Sjællandsgade                 ,    2200 ,55.6930367        ,12.5519897
5237958 ,    2 ,  54 , 11200 ,Ørestad Boulevard             ,    2300 ,55.6403311        ,12.5829753
5150806 ,    4 , 130 , 14500 ,Digtergangen                  ,    2860 ,55.7384392        ,12.507797
5086692 ,    3 ,  91 , 12750 ,Kaffevej                      ,    2610 ,55.6764212        ,12.436609
5185814 ,    1 ,  35 ,  7904 ,Svend Trøsts Vej              ,    1912 ,55.67942499999998 ,12.5514368
5107624 ,    4 , 142 , 25150 ,Frederiksholms Kanal          ,    1220 ,55.6757545        ,12.5751119
5223108 ,    2 ,  59 , 10900 ,Gyngemose Parkvej             ,    2860 ,55.72677539999999 ,12.477716
5148344 ,    2 ,  88 , 12480 ,Strandlodsvej                 ,    2300 ,55.66739          ,12.6202099
5227236 ,    5 , 309 , 65000 ,Galionsvej                    ,    1437 ,55.680716         ,12.6021319
5193032 ,    1 ,  37 ,  8584 ,Svend Trøsts Vej              ,    1912 ,55.67942499999998 ,12.5514368
5086698 ,    6 , 169 , 21900 ,Østerbrogade                  ,    2100 ,55.7003765        ,12.5778582
5217298 ,    2 ,  52 , 11200 ,Søndre Fasanvej               ,    2500 ,55.6678805        ,12.5169621
5230508 ,    2 ,  58 , 12000 ,Vestre Teglgade               ,    2450 ,55.6531338        ,12.5481159
5194142 ,    4 , 101 , 14775 ,Ørestads Boulevard            ,    2300 ,55.636709         ,12.582897
5184525 ,    1 ,  35 ,  6650 ,Rabarbervej                   ,    2400 ,55.6961805        ,12.5240192
