id,rooms,area,rent,norm_rent,latitude,longitude
4956190,5,195,24200,124.1,55.620428,12.572797
5136252,3,85,16950,199.41,55.671032,12.585607
3728880,2,70,13000,185.71,55.706672,12.595776
5263106,1,64,14500,226.56,55.668598,12.54707
5208360,1,36,9500,263.89,55.663553,12.591
5273982,2,43,10300,239.53,55.651307,12.511187
5126148,2,43,9800,227.91,55.665096,12.456153
5262459,3,99,17900,180.81,55.703844,12.594553
5086692,3,91,12750,140.11,55.676421,12.436609
5239919,3,108,14300,132.41,55.638175,12.581597
5246611,4,121,21340,176.36,55.688969,12.559045
5247625,3,94,13900,147.87,55.706052,12.5376
5242795,4,102,13950,136.76,55.727318,12.474743
5242796,4,97,13500,139.18,55.727318,12.474743
5246675,3,87,11500,132.18,55.72453,12.474464
5126124,1,28,7488,267.43,55.645948,12.63612
5266712,3,114,15520,136.14,55.686241,12.488985
5208330,1,48,10000,208.33,55.616671,12.565964
5184525,1,35,6650,190.0,55.69618,12.524019
5252876,3,71,11950,168.31,55.711095,12.47929
5249723,1,38,10000,263.16,55.649105,12.611941
5272667,2,61,13800,226.23,55.667523,12.627036
5082596,3,107,19500,182.24,55.676761,12.531524
5254001,2,66,12900,195.45,55.701024,12.580537
5272781,2,29,10900,375.86,55.681189,12.518624
5127791,5,161,21627,134.33,55.675097,12.548271
4856955,4,117,16946,144.84,55.652386,12.511991
5163219,3,124,18750,151.21,55.686736,12.584134
5092337,2,89,12815,143.99,55.725437,12.478625
4992890,3,81,17000,209.88,55.689958,12.554588
5265261,1,12,4500,375.0,55.69289,12.547805
5181545,1,23,7000,304.35,55.68671,12.503927
5188873,1,35,8000,228.57,55.688441,12.491476
5272685,3,74,13400,181.08,55.639789,12.582016
5272824,1,26,7900,303.85,55.681189,12.518624
5247356,1,40,8095,202.38,55.695357,12.534754
5272060,3,81,13400,165.43,55.617802,12.569192
4813572,3,122,15800,129.51,55.664442,12.601083
5258838,2,71,11525,162.32,55.677018,12.435548
4873697,3,143,18500,129.37,55.672672,12.558478
5143984,3,89,13600,152.81,55.655513,12.547887
5239390,3,91,14000,153.85,55.637843,12.580475
5242873,5,147,21500,146.26,55.648393,12.553017
5242878,3,78,14200,182.05,55.651319,12.555321
5258842,4,101,15750,155.94,55.649703,12.550492
5273099,2,38,11800,310.53,55.681189,12.518624
5249728,1,17,5500,323.53,55.715727,12.47189
5263586,1,30,6250,208.33,55.727285,12.479933
5268071,4,130,28000,215.38,55.668452,12.534562
5273094,1,38,11900,313.16,55.681189,12.518624
5241113,3,93,15500,166.67,55.685697,12.615687
5054100,4,109,14040,128.81,55.676413,12.437081
5247693,2,64,12626,197.28,55.649051,12.535273
5194787,3,87,14600,167.82,55.646565,12.552006
5262447,1,41,6200,151.22,55.707601,12.531026
5243759,3,141,20900,148.23,55.669039,12.58068
5011140,4,101,14400,142.57,55.635435,12.577151
4856612,2,80,12826,160.32,55.656387,12.509244
5239424,2,59,11700,198.31,55.638214,12.58092
5232153,4,111,16200,145.95,55.653134,12.548116
5078239,3,106,18700,176.42,55.658832,12.633643
5083785,1,32,7334,229.19,55.705502,12.527119
5248809,4,111,14617,131.68,55.676169,12.436299
4880219,1,14,5150,367.86,55.69618,12.524019
5237942,2,53,10200,192.45,55.665229,12.456205
5266717,2,63,11800,187.3,55.652309,12.556465
