id, rooms, area, rent, street, zip_code, latitude, longitude
5092270,4,102,14000,Gadeladet,2700,55.7071732,12.4915226
5112248,3,79,13118,Jernæblevej,2500,55.66084129999999,12.5030899
5079087,4,136,17500,A.C. Meyers Vænge,2450,55.651292,12.5421514
4956120,2,64,10350,Else Alfelts Vej,2300,55.6174184,12.5663495
5239919,3,108,14300,Martha Christensens Vej,2300,55.63817479999999,12.5815966
5259576,2,53,9450,Gadelandet,2700,55.7106205,12.4839747
5217298,2,52,11200,Søndre Fasanvej,2500,55.6678805,12.5169621
5153116,5,140,19500,A.C. Meyers Vænge,2450,55.6503446,12.5409203
5213502,2,58,11100,C. F. Møllers Allé,2300,55.6349679,12.5808112
4739392,2,56,11500,Michael Strunges Vej,2300,55.6653673,12.5989328
5237968,4,87,11900,Gyngemose Parkvej,2860,55.72670060000001,12.4797398
4900278,3,65,12799,Njalsgade,2300,55.6630951,12.5935843
5242875,4,110,16300,A.C. Meyers Vænge,2450,55.6530562,12.5435461
5249747,1,12,3900,Vermundsgade,2100,55.7060314,12.552815
5149924,3,102,14995,Fajancegade,2500,55.6651654,12.5106155
4974060,3,73,9200,Grønnemose Alle,2860,55.7239129,12.5072853
4856694,3,90,13466,Gyngemose Parkvej,2860,55.7261207,12.478513
5085935,4,126,20300,Willemoesgade,2100,55.6985847,12.5857688
5242967,4,134,22900,Sortedams Dosseringen,2100,55.6957214,12.5739266
5148227,5,131,16400,Halldór Laxness Vej,2300,55.6354026,12.5805186
5249777,1,21,5000,ja,2500,55.6658351,12.5096978
5247694,3,89,13865,Njalsgade,2300,55.6630951,12.5935843
4956329,2,74,14500,Nyhavn,1051,55.68021820000001,12.5902059
5242875,4,110,16300,A.C. Meyers Vænge,2450,55.6530562,12.5435461
5242870,2,65,10950,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5130194,3,82,12400,Ørestad Boulevard,2300,55.6403311,12.5829753
5242873,5,147,21500,Alliancevej,2450,55.648393,12.5530166
5239919,3,108,14300,Martha Christensens Vej,2300,55.63817479999999,12.5815966
5218117,1,36,8000,Lærkevej,2400,55.7017902,12.5305111
5181532,2,90,13900,Axel Heides Gade,2300,55.659896,12.57005
5054948,1,43,7640,Frederikssundsvej,2400,55.7012191,12.5357119
