Sagsnr,available_from,rooms,area,rent,per_area_price,address,zip_code,latitude,longitude
1770008131177009,2022-05-03,1,33.0,8550,518.0,"Dybbølsbro 3, 19. 3, 1577 København V",1577,55.66365479,12.56018228
1770008017177009,2022-07-04,1,33.0,8650,524.0,"Dybbølsbro 3, 16. 8, 1577 København V",1577,55.6636358,12.5601684
1770008088177009,2022-05-30,1,33.0,8650,524.0,"Dybbølsbro 3, 18. 10, 1577 København V",1577,55.66365077,12.56012667
1770008091177009,2022-05-19,1,33.0,8750,530.0,"Dybbølsbro 3, 19. 11, 1577 København V",1577,55.66363794,12.56011529
1770008122177009,2022-05-30,1,33.0,8750,530.0,"Dybbølsbro 3, 8. 4, 1577 København V",1577,55.66364222,12.56009253
1770008124177009,2022-08-22,1,33.0,8750,530.0,"Dybbølsbro 3, 14. 10, 1577 København V",1577,55.66362938,12.56012667
1770007954177009,2022-07-04,1,33.0,8850,536.0,"Dybbølsbro 3, 21. 5, 1577 København V",1577,55.6636358,12.56008115
10-X00017743426001,2022-10-15,2,55.0,10500,573.0,"Else Alfelts Vej 37, 1. 3, 2300 København S",2300,55.62078032,12.56938804
10-X00018353426001,2022-06-01,3,90.0,14050,468.0,"Robert Jacobsens Vej 57, 8. 2, 2300 København S",2300,55.62007231,12.57357969
1770007964177009,2022-07-04,1,33.0,8850,536.0,"Dybbølsbro 3, 20. 5, 1577 København V",1577,55.66363366,12.56005081
1770008008177009,2022-05-03,1,33.0,8850,536.0,"Dybbølsbro 3, 11. 3, 1577 København V",1577,55.65571596,12.51155621
1770008133177009,2022-05-30,1,33.0,8850,536.0,"Dybbølsbro 3, 20. 4, 1577 København V",1577,55.66363794,12.56013426
1770008016177009,2022-10-27,1,33.0,8950,542.0,"Dybbølsbro 3, 23. 7, 1577 København V",1577,55.6636144,12.5601077
1770008081177009,2022-04-12,1,33.0,8950,542.0,"Dybbølsbro 3, 10. 7, 1577 København V",1577,55.66365479,12.56018228
1770008007177009,2022-08-15,1,33.0,9050,548.0,"Dybbølsbro 3, 9. 15, 1577 København V",1577,55.6636251,12.56009632
1770008009177009,2022-05-30,1,33.0,9050,548.0,"Dybbølsbro 3, 11. 11, 1577 København V",1577,55.66365291,12.56009632
1770008013177009,2022-04-12,1,33.0,9050,548.0,"Dybbølsbro 3, 18. 5, 1577 København V",1577,55.65571596,12.51155621
1770008094177009,2022-05-30,1,33.0,9050,548.0,"Dybbølsbro 3, 12. 11, 1577 København V",1577,55.66364008,12.56014943
1770008098177009,2022-07-04,1,33.0,9050,548.0,"Dybbølsbro 3, 23. 11, 1577 København V",1577,55.66364863,12.5601115
1770008100177009,2022-04-12,1,33.0,9050,548.0,"Dybbølsbro 3, 13. 10, 1577 København V",1577,55.66365479,12.56018228
1770008128177009,2022-05-30,1,33.0,9050,548.0,"Dybbølsbro 3, 17. 4, 1577 København V",1577,55.6636358,12.56009253
1770008135177009,2022-09-05,1,33.0,9050,548.0,"Dybbølsbro 3, 22. 4, 1577 København V",1577,55.66362724,12.5601115
1770008136177009,2022-08-18,1,33.0,9050,548.0,"Dybbølsbro 3, 23. 4, 1577 København V",1577,55.66364649,12.5601077
1770007959177009,2022-08-22,1,33.0,9150,555.0,"Dybbølsbro 3, 22. 9, 1577 København V",1577,55.66363942,12.5601035
1770007963177009,2022-08-22,1,33.0,9150,555.0,"Dybbølsbro 3, 20. 8, 1577 København V",1577,55.66363337,12.56011423
1770007931177009,2022-07-04,1,33.0,9250,561.0,"Dybbølsbro 3, 24. 11, 1577 København V",1577,55.66362429,12.56011959
1770008102177009,2022-04-12,1,33.0,9250,561.0,"Dybbølsbro 3, 13. 9, 1577 København V",1577,55.66365479,12.56018228
1770008127177009,2022-04-08,1,33.0,9250,561.0,"Dybbølsbro 3, 16. 11, 1577 København V",1577,55.66365479,12.56018228
1770007936177009,2022-04-12,1,33.0,9350,567.0,"Dybbølsbro 3, 22. 6, 1577 København V",1577,55.65571596,12.51155621
1770007947177009,2022-04-08,1,33.0,9350,567.0,"Dybbølsbro 3, 19. 10, 1577 København V",1577,55.65571596,12.51155621
1770008090177009,2022-04-12,1,33.0,9350,567.0,"Dybbølsbro 3, 22. 2, 1577 København V",1577,55.66365479,12.56018228
1770008096177009,2022-05-03,1,33.0,9350,567.0,"Dybbølsbro 3, 17. 8, 1577 København V",1577,55.66365479,12.56018228
1770007957177009,2022-04-12,1,33.0,9650,585.0,"Dybbølsbro 3, 18. 1, 1577 København V",1577,55.65571596,12.51155621
1770008084177009,2022-05-19,1,33.0,9750,591.0,"Dybbølsbro 3, 20. 11, 1577 København V",1577,55.66365455,12.56011423
1770008130177009,2022-04-12,1,33.0,9350,567.0,"Dybbølsbro 3, 18. 3, 1577 København V",1577,55.66365479,12.56018228
1770007926177009,2022-09-05,2,53.0,12750,481.0,"Dybbølsbro 3, 7. 1, 1577 København V",1577,55.66365455,12.56012495
