rooms ,area ,rent  ,street                        ,zip_code ,latitude          ,longitude
6,169,21900,Østerbrogade,2100,55.7003765,12.5778582
1,31,7400,Gl. Køge Landevej,2500,55.6557304,12.5115847
4,86,15995,Falkevej,2400,55.69874799999998,12.53532
1,36,7600,Mutzuvej,2500,55.65353409999999,12.5023863
4,95,17000,Lundtoftegade,2200,55.6974419,12.5386965
1,44,9454,Svend Trøsts Vej,1912,55.67942499999998,12.5514368
3,79,11250,Gadelandet,2700,55.7115422,12.4809887
4,151,29500,Vendersgade,1363,55.68517490000001,12.5652686
4,97,13300,Gyngemose Parkvej,2860,55.7273179,12.474743
5,195,24200,Robert Jacobsens Vej,2300,55.62042820000001,12.5727968
2,73,11950,Ørestads Boulevard,2300,55.6361249,12.5812123
3,85,16100,Mariendalsvej,2000,55.6909998,12.5318338
2,67,11050,Børge Olsens Plads,2610,55.67117589999999,12.4728844
2,70,13000,Bordeauxgade,2150,55.7066719,12.5957758
2,53,9450,Gadelandet,2700,55.7106205,12.4839747
2,52,10300,Storekær,2610,55.66518240000001,12.4548829
3,108,17565,Nytorv,1450,55.6777785,12.5734097
4,136,17500,A.C. Meyers Vænge,2450,55.651292,12.5421514
1,32,7334,Theklavej,2400,55.70550189999999,12.5271191
6,169,25000,Irlandsvej,2300,55.6434286,12.6068988
1,35,6700,Preben Kaas' Vænge,2000,55.68412619999999,12.502215
1,49,12500,Rosenvængets Hovedvej,2100,55.7013125,12.5854108
4,117,15500,Valby Maskinfabriksvej,2500,55.6606233,12.5126126
4,130,14500,Digtergangen,2860,55.7384392,12.507797
4,102,15475,Ørestads Boulevard,2300,55.636709,12.582897
1,28,8800,Njalsgade,2300,55.6635534,12.5909995
4,140,18600,Martha Christensens Vej,2300,55.63817479999999,12.5815966
1,14,5150,Rabarbervej,2400,55.6961805,12.5240192
1,37,7700,Lærkevej,2400,55.7017902,12.5305111
4,101,13752,Hannemanns Allé,2300,55.626185,12.5762249
5,134,18000,Else Alfelts Vej,2300,55.619128,12.5686257
2,33,10400,Finsensvej,2000,55.6810725,12.5214046
3,81,13118,Ingrid Marievej,2500,55.6567609,12.5037915
5,309,65000,Galionsvej,1437,55.680716,12.6021319
2,58,12000,Vestre Teglgade,2450,55.6531338,12.5481159
3,119,17900,Knabrostræde,1210,55.6779854,12.5742545
3,69,12800,Robert Jacobsens Vej,2300,55.6202704,12.5734617
1,28,7488,Jorisvej,2300,55.645948,12.6361201
2,55,14000,Bjelkes Allé,2200,55.6920256,12.5457104
3,91,12750,Kaffevej,2610,55.6764212,12.436609
3,97,15999,Strandlodsvej,2300,55.664589,12.6226802
4,102,15475,Ørestads Boulevard,2300,55.636709,12.582897
5,99,14000,Møllevangen,2610,55.7051143,12.4353148
2,66,11100,Ørestad Boulevard,2300,55.6403311,12.5829753
3,143,18500,Vesterbrogade,1620,55.6726718,12.5584782
3,90,13240,Robert Jacobsens Vej,2300,55.6215844,12.5734099
4,110,17250,A.C. Meyers Vænge,2450,55.6514098,12.5418409
3,88,14100,Flydedokken,2450,55.6552264,12.5517857
4,96,14000,Hannemanns Allé,2300,55.626185,12.5762249
3,96,14500,Martha Christensens Vej,2300,55.63817479999999,12.5815966
1,35,8000,Lærkevej,2400,55.7017902,12.5305111
2,55,10500,Møllevangen,2610,55.7051143,12.4353148
3,89,13800,Pladehals Allé,2450,55.6555396,12.5482691
4,142,25150,Frederiksholms Kanal,1220,55.6757545,12.5751119
3,75,12700,Gyngemose Parkvej,2860,55.7275956,12.479145
4,101,15750,Teglholm Tværvej,2450,55.6497034,12.5504922
