,id,available_from,rooms,area,rent,per_area_price,address,zip_code,latitude,longitude,rent_norm
156,1770008422177009,2022-05-19,2.0,55.0,11200,611.0,"Ved Amagerbanen 31E, 3. 3, 2300 København S",2300,55.66603984,12.62730781,203.63636363636363
157,1770008190177009,2022-04-20,3.0,84.0,13500,482.0,"Halldór Laxness Vej 25, 3. tv, 2300 København S",2300,55.63732693,12.58110163,160.71428571428572
158,1770008194177009,2022-05-30,2.0,56.0,11900,638.0,"Halldór Laxness Vej 25, 3. th, 2300 København S",2300,55.63732693,12.58110163,212.5
159,1770008196177009,2022-05-30,2.0,54.0,11400,633.0,"Halldór Laxness Vej 23, st. th, 2300 København S",2300,55.63732693,12.58110163,211.11111111111111
160,1770008426177009,2022-05-09,1.0,45.0,7900,527.0,"Ved Amagerbanen 31A, 4. 6, 2300 København S",2300,55.66603984,12.62730781,175.55555555555554
161,1770008430177009,2022-04-25,1.0,35.0,7400,634.0,"Ved Amagerbanen 31B, 2. 6, 2300 København S",2300,55.66603984,12.62730781,211.42857142857142
162,1770008436177009,2022-05-11,3.0,86.0,13500,471.0,"Ved Amagerbanen 31C, 1. 1, 2300 København S",2300,55.66603984,12.62730781,156.97674418604652
163,1770008438177009,2022-05-19,1.0,54.0,10500,583.0,"Ved Amagerbanen 37C, 3. tv, 2300 København S",2300,55.66546337,12.62724058,194.44444444444446
164,1770008395177009,2022-05-02,1.0,34.0,8500,750.0,"Amerikavej 19A, 2. 200, 1756 København V",1756,55.66899705,12.54217717,250.0
165,1770008396177009,2022-04-20,1.0,31.0,8600,832.0,"Amerikavej 19A, 2. 211, 1756 København V",1756,55.66899705,12.54217717,277.4193548387097
166,1770008398177009,2022-04-20,1.0,41.0,8800,644.0,"Amerikavej 19C, 2. 229, 1756 København V",1756,55.66899705,12.54217717,214.6341463414634
167,10-X00017393426001,2022-11-15,3.0,80.0,12000,450.0,"Else Alfelts Vej 35, 1. 3, 2300 København S",2300,55.62087245,12.56942312,150.0
168,1770008400177009,2022-04-26,2.0,36.0,10600,883.0,"Amerikavej 19C, 3. 310, 1756 København V",1756,55.66899705,12.54217717,294.44444444444446
169,1770008401177009,2022-05-19,1.0,31.0,8700,842.0,"Amerikavej 19A, 3. 311, 1756 København V",1756,55.66899705,12.54217717,280.64516129032256
170,1770008402177009,2022-04-20,1.0,31.0,8700,842.0,"Amerikavej 19B, 3. 313, 1756 København V",1756,55.66899705,12.54217717,280.64516129032256
171,1770008403177009,2022-05-09,1.0,34.0,8600,768.0,"Amerikavej 19C, 3. 325, 1756 København V",1756,55.66899705,12.54217717,252.94117647058823
