,rooms,area,rent,street,zip_code,latitude,longitude,rent_norm
5241443,3,129,24000,Sundkaj                       ,2150,55.71039210000001 ,12.596482,186.04651162790697
5241371,2,53,12100,Ejler Billes Allé             ,2300,55.6220819        ,12.5737359,228.30188679245282
5117815,1,50,10500,Dronningens Tværgade          ,1302,55.68411889999999 ,12.5853513,210.0
5224887,3,146,26000,Baldrianvej                   ,2900,55.7372863        ,12.5382676,178.08219178082192
5179341,3,89,13865,Njalsgade                     ,2300,55.6630951        ,12.5935843,155.7865168539326
5234310,2,38,10600,Amerikavej                    ,1756,55.6689619        ,12.5419543,278.94736842105266
5121282,4,101,14747,Elstarvej                     ,2500,55.6569091        ,12.5014271,146.009900990099
5241405,2,53,11900,Ved Amagerbanen               ,2300,55.6655304        ,12.6273305,224.52830188679246
5217948,5,130,15650,Ørestads Boulevard            ,2300,55.63508179999998 ,12.5811579,120.38461538461539
5241135,2,43,10250,Poppelstykket                 ,2450,55.6515557        ,12.5119233,238.37209302325581
5207918,2,51,11800,Uplandsgade                   ,2300,55.66663759999999 ,12.5992919,231.37254901960785
5239922,3,100,15000,Martha Christensens Vej       ,2300,55.63817479999999 ,12.5815966,150.0
5228606,1,100,6900,Niels Finsens Alle            ,2860,55.7361432        ,12.5121082,69.0
5231637,1,14,3900,ja                            ,2200,55.6928897        ,12.547805,278.57142857142856
5231903,1,16,5500,Gladsaxe Møllevej             ,2860,55.742842         ,12.4717121,343.75
5218751,2,50,9800,Mutzuvej                      ,2500,55.65340459999998 ,12.5030933,196.0
5121279,3,79,12905,Ingrid Marievej               ,2500,55.6567609        ,12.5037915,163.35443037974684
5231635,1,50,9500,Azaleavej                     ,2000,55.6711263        ,12.5171446,190.0
5239390,3,91,14000,Emma Gads Vej                 ,2300,55.6378427        ,12.580475,153.84615384615384
4966924,4,118,15300,Irmavej                       ,2610,55.67698309999999 ,12.4362041,129.66101694915255
5237966,4,118,15000,Islev Have                    ,2610,55.70582719999999 ,12.4338754,127.11864406779661
5237968,4,87,11900,Gyngemose Parkvej             ,2860,55.72670060000001 ,12.4797398,136.7816091954023
4889880,3,100,15990,Tåsingegade                   ,2100,55.7099805        ,12.5767607,159.9
5185769,2,70,11950,Michael Strunges Vej          ,2300,55.6508754        ,12.5991891,170.71428571428572
5007481,4,110,14341,Carl Jacobsens Vej            ,2500,55.6529391        ,12.51822,130.37272727272727
5179339,3,65,12799,Njalsgade                     ,2300,55.6630951        ,12.5935843,196.90769230769232
5112375,2,61,11721,Richard Mortensens Vej        ,2300,55.6218405        ,12.5721728,192.14754098360655
5238501,1,32,6350,Gyngemose Parkvej             ,2860,55.7272197        ,12.4792895,198.4375
5216831,3,92,13811,Frederikskaj                  ,2450,55.64695039999999 ,12.5434465,150.1195652173913
5238047,2,54,12500,Trelleborggade                ,2100,55.7066467        ,12.593854,231.4814814814815
5037820,3,79,12300,Halldor Laxness Vej           ,2300,55.63593539999999 ,12.5806427,155.69620253164558
5179167,4,107,14875,Glostervej                    ,2500,55.6538587        ,12.5037334,139.01869158878506
5115245,5,123,16705,Robert Jacobsens Vej          ,2300,55.6217108        ,12.5729561,135.8130081300813
5225436,1,18,4800,Bramslykkevej                 ,2500,55.6718629        ,12.4886919,266.6666666666667
5205895,3,106,14900,Oscar Pettifords Vej          ,2450,55.64702399999998 ,12.555362,140.56603773584905
5007343,1,14,5150,Rabarbervej                   ,2400,55.69525160000001 ,12.5235729,367.85714285714283
4954929,1,13,4920,Rabarbervej                   ,2400,55.6961805        ,12.5240192,378.46153846153845
4979629,2,65,10950,Else Alfelts Vej              ,2300,55.6174184        ,12.5663495,168.46153846153845
4974061,3,73,9200,Grønnemose Alle               ,2860,55.7239129        ,12.5072853,126.02739726027397
5197159,2,65,12500,Bomhusvej                     ,2100,55.72244          ,12.5577373,192.30769230769232
5215431,6,291,68000,Norgesmindevej                ,2900,55.7253689        ,12.5729608,233.67697594501718
5239919,3,108,14300,Martha Christensens Vej       ,2300,55.63817479999999 ,12.5815966,132.40740740740742
