,id,rooms,area,rent,latitude,longitude,rent_norm
173,4960416,1,24,5999,55.6688,12.499741,249.95833333333334
174,5022489,1,15,7000,55.688385,12.508888,466.6666666666667
175,5105724,5,127,16650,55.705827,12.433875,131.10236220472441
176,5179192,5,134,18000,55.619128,12.568626,134.32835820895522
177,5216766,1,37,5633,55.707792,12.485342,152.24324324324326
178,5274099,2,67,13800,55.667523,12.627036,205.97014925373134
179,5266725,1,48,8000,55.655898,12.503485,166.66666666666666
180,5247677,2,53,11311,55.636709,12.582897,213.41509433962264
181,5074404,3,86,12807,55.626185,12.576225,148.91860465116278
182,5247646,3,91,12395,55.651821,12.554816,136.2087912087912
183,5121297,2,86,15999,55.67783,12.573206,186.03488372093022
184,5184522,3,99,15700,55.665227,12.624279,158.58585858585857
185,5251674,3,91,11317,55.678938,12.450205,124.36263736263736
186,5247645,3,79,12700,55.652367,12.55653,160.7594936708861
187,5079087,4,136,17500,55.651292,12.542151,128.6764705882353
188,5273996,2,52,10100,55.71046,12.484442,194.23076923076923
189,4739392,2,56,11500,55.665367,12.598933,205.35714285714286
190,5262457,3,98,15400,55.663616,12.624077,157.14285714285714
191,5273104,2,53,11900,55.66553,12.62733,224.52830188679246
192,5242877,4,110,15900,55.653056,12.543546,144.54545454545453
193,5263183,1,50,8350,55.678873,12.530872,167.0
194,5239432,2,60,11700,55.634942,12.579119,195.0
195,5149924,3,102,14995,55.665165,12.510616,147.00980392156862
196,4900278,3,65,12799,55.663095,12.593584,196.90769230769232
197,5023175,3,121,15106,55.68412,12.615212,124.84297520661157
198,5263958,2,116,16000,55.707202,12.526368,137.93103448275863
199,5193032,1,37,8584,55.679425,12.551437,232.0
200,4974060,3,73,9200,55.723913,12.507285,126.02739726027397
201,4856694,3,90,13466,55.726121,12.478513,149.62222222222223
202,5249777,1,21,5000,55.665835,12.509698,238.0952380952381
203,5273091,2,60,11900,55.637755,12.580868,198.33333333333334
204,5130194,3,82,12400,55.640331,12.582975,151.21951219512195
205,5271983,2,53,12100,55.622082,12.573736,228.30188679245282
206,5248129,3,81,13012,55.660841,12.50309,160.64197530864197
207,5270948,2,66,11100,55.640331,12.582975,168.1818181818182
208,4956329,2,74,14500,55.680218,12.590206,195.94594594594594
209,5085935,4,126,20300,55.698585,12.585769,161.11111111111111
210,5249262,2,88,12480,55.66739,12.62021,141.8181818181818
211,5181932,3,84,13900,55.703795,12.503554,165.47619047619048
212,5092270,4,102,14000,55.707173,12.491523,137.2549019607843
213,4856705,4,105,17495,55.678128,12.573445,166.61904761904762
214,5247694,3,89,13865,55.663095,12.593584,155.7865168539326
215,5194025,7,214,33438,55.68759,12.595955,156.25233644859813
216,5262866,2,71,14995,55.693037,12.55199,211.19718309859155
217,5112302,4,119,20000,55.732739,12.561723,168.0672268907563
218,5249727,1,7,3500,55.69289,12.547805,500.0
219,5249704,1,56,11900,55.686667,12.528529,212.5
220,5273121,2,32,10750,55.681189,12.518624,335.9375
221,5262426,1,45,7400,55.649554,12.551497,164.44444444444446
222,5017590,1,28,8300,55.663553,12.591,296.42857142857144
223,5274027,3,89,15500,55.666197,12.621256,174.1573033707865
224,5274032,3,94,15400,55.666493,12.624566,163.82978723404256
225,4857750,4,151,29500,55.685175,12.565269,195.36423841059602
226,5248022,1,49,8400,55.703754,12.537448,171.42857142857142
227,5262428,1,34,6300,55.649554,12.551497,185.2941176470588
228,5054948,1,43,7640,55.701219,12.535712,177.67441860465115
229,5224886,2,110,19800,55.679212,12.569246,180.0
230,5107678,4,114,15900,55.645625,12.548263,139.47368421052633
231,5253495,5,130,17900,55.654547,12.612201,137.69230769230768
232,5262441,3,80,13000,55.657994,12.511751,162.5
233,5266714,1,39,5937,55.707792,12.485342,152.23076923076923
234,5245187,1,180,19800,55.680659,12.571175,110.0
235,4956083,2,63,11050,55.617418,12.566349,175.3968253968254
236,5258841,3,69,12800,55.62027,12.573462,185.5072463768116
237,5185814,1,35,7904,55.679425,12.551437,225.82857142857142
